Username;Rank;Title;Artist;Genre;Genre;Album;Number of Plays
kLmtR5NPfF;7;Slow Dancing in the Dark;Joji;R&B;R&B;Ballads 1;55
kLmtR5NPfF;8;Black Sheep (Brie Larson Vocal Version);Metric;Alternative;ALTERNATIVE;Scott Pilgrim vs. the World;77
kLmtR5NPfF;9;Back on 74;Jungle;r&b;R&B;Volcano;76
kLmtR5NPfF;10;Ultimate Showdown;Lemon Demon;Alternative;ALTERNATIVE;Dinosaurchestra;63
pt2Q2caAOW;1;Typing: 1974-2048;The Faint;Alternative;ALTERNATIVE;Media;200
pt2Q2caAOW;2;Syntax Lies;Media;Alternative;ALTERNATIVE;Media;190
pt2Q2caAOW;3;Athoth a Go!! Go!!;Machine Girl;Alternative;ALTERNATIVE;Because I'm Young Arrogant and Hate Everything You Stand For;180
pt2Q2caAOW;4;Debaser;Pixies;Alternative;ALTERNATIVE;Doolittle;200
pt2Q2caAOW;5;Ziggy Stardust;Bauhaus;Rock;ROCK;The Sky's Gone Out;175
pt2Q2caAOW;6;Mkultra Victim;Negative XP;Alternative;ALTERNATIVE;Mkultra Support Group, Vol. 1;300
pt2Q2caAOW;7;Caribou;Pixies;Alternative;ALTERNATIVE;Come On Pilgrim;300
pt2Q2caAOW;8;Letter to Memphis;Pixies;Alternative;ALTERNATIVE;Trompe le Monde;300
pt2Q2caAOW;9;The Good Life;Weezer;Alternative;ALTERNATIVE;Pinkerton;200
pt2Q2caAOW;10;Stoned Obituary;The Legendary Pink Dots;Indie;INDIE;Curse;100
jCwZHjLO7b;5;Under Your Spell;Snow Strippers;EDM;EDM;April Mixtape 3;25
3kNepX3xeq;1;Where the Wild Things Are;Luke Combs;Country;COUNTRY;Gettin' Old;250
3kNepX3xeq;2;Whiskey Lullaby;Drew Jacobs & Caitlynne Curtis;Country;COUNTRY;Whiskey Lullaby;175
3kNepX3xeq;3;Run Away to Mars;TALK;Pop;POP;Run Away to Mars;150
3kNepX3xeq;4;7 Years;Lukas Graham;Pop;POP;Lukas Graham;150
teP0JFiKod;1;Commatose;glass beach;indie;INDIE;plastic death;40
3kNepX3xeq;5;a thousand years;Christina Perry;Pop;POP;a thousand years;140
teP0JFiKod;2;drive ME crazy!;lil yachty;Miscellaneous;MISCELLANEOUS;Let's Start Here.;30
3kNepX3xeq;6;No Matter What;Jamie Miller;Pop;POP;The Things I Left Unsaid;100
3kNepX3xeq;7;Let Her Go;Passenger;Country;COUNTRY;All The Little Lights;90
ZxOLXrLtgF;1;ROACHES;LuLuYam;EDM;EDM;ROACHES;250
3kNepX3xeq;8;Another Love;Tom Odell;Indie;INDIE;Long Way Down;90
3kNepX3xeq;9;If You Love Her;Forest Blakk;Pop;POP;If You Love Her;90
teP0JFiKod;3;Cable Kid: Comes Back to Play;Koraii;Miscellaneous;MISCELLANEOUS;Cable Kid: Comes Back to Play;50
teP0JFiKod;4;Cable Kid;Koraii;Miscellaneous;MISCELLANEOUS;Lilysse After Dark: Vol. 2;35
3kNepX3xeq;10;I Can Only Imagine;MercyMe;Miscellaneous;MISCELLANEOUS;Almost There;95
LpZCYdRoyf;5;Everything Must Go;Nero's Day At Disneyland;EDM;EDM;From Rotting Fantasylands;100
teP0JFiKod;5;Empress;Koraii;EDM;EDM;Empress;20
ZxOLXrLtgF;2;Animal I Have Become;Three Days Grace;Rock;ROCK;One-X;80
teP0JFiKod;6;Meet The Frownies;Mr Twin Sister;Indie;INDIE;Meet the Frownies;25
LpZCYdRoyf;9;In Aisles;Nero's Day at Disneyland;EDM;EDM;From Rotting Fantasylands;150
ZxOLXrLtgF;3;YEAYEAYEA;LuLuYam;EDM;EDM;BURNOUT;120
teP0JFiKod;7;LOVELOVELOVELOVELOVELOVE;six impala;EDM;EDM;WFLYTD;30
LpZCYdRoyf;8;ATE;DEATHPIXIE;EDM;EDM;ATE;200
teP0JFiKod;8;Lost;Crim3s;EDM;EDM;Stay Ugly;100
teP0JFiKod;9;Sky and Soul;Creo;EDM;EDM;Sky and Soul;15
LpZCYdRoyf;7;Anchor Song;Peter Bellamy;Country;COUNTRY;Anchor Song;100
LpZCYdRoyf;6;ERROR;ROMANTICA;EDM;EDM;ERROR;100
teP0JFiKod;10;either on or off the drugs;JPEGMAFIA;hip hop;HIP HOP;I LAY DOWN MY LIFE FOR YOU;26
pC5YFYYN8S;1;Heavy Is the Crown;Linkin Park;Rock;ROCK;From Zero;394
LpZCYdRoyf;5;ATTACKING VERTICAL;femtanyl;pop;POP;REACTOR;200
D53rCB2Xxt;1;Socioenvy;NateWantsToBattle;Metal;METAL;To Let Go;300
D53rCB2Xxt;2;this is what autumn feels like;JVKE;indie;INDIE;this this is what autumn feels like;275
LpZCYdRoyf;4;Pact With God;Nero's Day at Dineyland;EDM;EDM;Colonists;200
pC5YFYYN8S;2;7 nation army;The White Stripes, The Glitch Mob;Rock;ROCK;Elephant;450
YF7dqPuiWw;1;I Love You More Each Time You Die;Goreshit;pop;POP;Goretrance X;120
LpZCYdRoyf;3;Beautiful Princess Disorder;milkypossum;EDM;EDM;THE NEET EP;200
pC5YFYYN8S;3;Monster;Skillet;Rock;ROCK;Awake;325
YF7dqPuiWw;2;Machine Love;Jamie Page;Pop;POP;Constant Companions;150
LpZCYdRoyf;2;Run Devil Run;Haunted like Human;country;COUNTRY;Tall Tales & Fables;100
YF7dqPuiWw;3;GONE, GONE / THANK YOU;Tyler, The Creator;hip hop;HIP HOP;IGOR;100
pC5YFYYN8S;4;Street Fight;Adam Jensen;Pop;POP;Hype Up;410
YF7dqPuiWw;4;Uncanny Long Arms;underscores, Jane Remover;pop;POP;Wallsocket;90
LpZCYdRoyf;1;Military Fashion Show;And One;edm;EDM;Bodypop;300
YF7dqPuiWw;5;Spoiled little brat;underscores;pop;POP;fishmonger;120
YF7dqPuiWw;6;GIRL HELL 1999;femtanyl;pop;POP;CHASER;140
YF7dqPuiWw;7;dnd;glaive;pop;POP;cypress grove;160
pC5YFYYN8S;4;2 Dangerous;Brennan Story, Rarin;hip hop;HIP HOP;2 Dangerous;321
YF7dqPuiWw;8;M@GICAL CURE! LOVE SHOT!;Sawtone, Hatsune Miku;Pop;POP;M@GICAL CURE! LOVE SHOT!;120
pC5YFYYN8S;5;The Mountain;Three Days Grace;rock;ROCK;Alienation;520
YF7dqPuiWw;9;deadweight;Goreshit;Miscellaneous;MISCELLANEOUS;splitshit 2;100
YF7dqPuiWw;10;Like Him;Tyler, The Creator;hip hop;HIP HOP;CHROMAKOPIA;100
pC5YFYYN8S;6;Middle Finger;Bohnes;hip hop;HIP HOP;Middle Finger;410
D53rCB2Xxt;3;Clouds;JVKE;indie;INDIE;Clouds;270
pC5YFYYN8S;7;Jekyll and Hyde;Five Finger Death Punch;rock;ROCK;Got Your Six;654
pC5YFYYN8S;8;Feel Invincible;Skillet;rock;ROCK;Skillet;322
pC5YFYYN8S;9;Bamboleo x Narcos;undo;hip hop;HIP HOP;Bamboleo x Narcos;412
D53rCB2Xxt;4;Prove - Japanese Version;ONE OK ROCK;rock;ROCK;Luxury Disease;250
pC5YFYYN8S;10;Vois Sur Ton Chemin;Xizt;rock;ROCK;Vois Sur Ton Chemin;120
D53rCB2Xxt;5;I Know Places (Taylor's Version);Taylor Swift;Pop;POP;1989 - Taylor's Version;200
67zfR9D052;5;Impaler;Sabaton;Metal;METAL;Legends;55
67zfR9D052;3;Blind;Korn;Metal;METAL;Korn;65
67zfR9D052;2;Armata Strigoi;Powerwolf;Metal;METAL;Blessed & Possessed;80
67zfR9D052;1;Deutschland;Rammstein;Metal;METAL;Rammstein;100
D53rCB2Xxt;6;Denial;James Marriott;indie;INDIE;Are We There Yet?;260
D53rCB2Xxt;7;Premier Inn;Good Kid;indie;INDIE;Good Kid 4;180
D53rCB2Xxt;8;Mum;Luke Hemmings;Alternative;ALTERNATIVE;When Facing the Things We Turn Away From;190
D53rCB2Xxt;9;Safe and Sound;Capital Cities;EDM;EDM;In a Tidal Wave of Mystery;215
D53rCB2Xxt;10;Won't Go;snuffles;EDM;EDM;Won't Go;230
9Cs0bza8qu;1;Dreamin;Common and Pete Rock;Hip Hop;HIP HOP;The Auditorium Vol. 1;150
9Cs0bza8qu;2;You Know How We Do It;Ice Cube;Hip Hop;HIP HOP;Greatest Hits;500
9Cs0bza8qu;3;Apparently;J. Cole;Hip Hop;HIP HOP;2014 Forest Hills Drive;300
9Cs0bza8qu;4;Love Yourz;J. Cole;Hip Hop;HIP HOP;2014 Forest Hills Drive;350
9Cs0bza8qu;5;Intro;J. Cole;Hip Hop;HIP HOP;2014 Forest Hills Drive;350
9Cs0bza8qu;6;Heard 'Em Say;Kanye West, Adam Levine;Hip Hop;HIP HOP;Late Registration;400
9Cs0bza8qu;7;Big Brother;Kanye West;Hip Hop;HIP HOP;Graduation;150
9Cs0bza8qu;8;I Wonder;Kanye West;Hip Hop;HIP HOP;Graduation;400
9Cs0bza8qu;9;The World Is Yours;Nas;Hip Hop;HIP HOP;Illmatic;600
9Cs0bza8qu;10;Wholeheartedly;JID, Ty Dolla $ign, 6LACK;Hip Hop;HIP HOP;God Does Like Ugly;100
VXkCk47o9n;9;Meet me Halfway - speed;ren;alternative;ALTERNATIVE;no album;37
Vn6YU1N4oP;1;HIND'S HALL;Macklemore;hip hop;HIP HOP;HIND'S HALL;245
Vn6YU1N4oP;2;Rät;Penelope Scott;Alternative;ALTERNATIVE;Public Void;150
Vn6YU1N4oP;3;If That's Love;Shawn James;r&b;R&B;Shadows;200
Vn6YU1N4oP;4;Escapism.;Raye;Pop;POP;My 21st Century Blues;100
Vn6YU1N4oP;5;Yosemite;Iniko;R&B;R&B;Jericho;80
Vn6YU1N4oP;6;Devil Like Me;Rainbow Kitten Surprise;indie;INDIE;Seven + Mary;200
Vn6YU1N4oP;7;Money Game Pt. 3;Ren;hip hop;HIP HOP;Sick Boi;150
Vn6YU1N4oP;8;Sailor Song;Gigi Perez;Indie;INDIE;Sailor Song;200
Vn6YU1N4oP;9;What It Sounds Like;HUNTR/X (TWICE);k-pop;K-POP;KPop Demon Hunters Soundtrack;30
Vn6YU1N4oP;10;Matcha;Wic Whitney;hip hop;HIP HOP;Matcha;90
mBz9FO5uqn;5;Jigsaw;Conan Gray;indie;INDIE;Superache;130
mBz9FO5uqn;3;When She Smiles;Gigi Perez;Indie;INDIE;How to Catch A Falling Knife;100
p6CtT0Xo8A;1;Lovefool;The Cardigans;alternative;ALTERNATIVE;First Band on the Moon;210
p6CtT0Xo8A;2;Something's Wrong with the Morning;Margo Guryan;pop;POP;27 Demos;60
p6CtT0Xo8A;3;Roadhouse Blues;The Doors;r&b;R&B;Morrison Hotel;230
p6CtT0Xo8A;4;Green Onions;Booker T. & the M.G.'s;r&b;R&B;Green Onions;110
p6CtT0Xo8A;5;Peace Frog;The Doors;r&b;R&B;Morrison Hotel;240
p6CtT0Xo8A;6;Apple Tree;Wolfmother;rock;ROCK;Wolfmother;140
p6CtT0Xo8A;7;Lonely Mess;Laundry;indie;INDIE;Affirmation;730
p6CtT0Xo8A;8;There Is a Light That Never Goes Out;The Smiths;alternative;ALTERNATIVE;The Queen Is Dead;90
p6CtT0Xo8A;9;I Love You So;The Walters;alternative;ALTERNATIVE;Songs for Dads;340
p6CtT0Xo8A;10;Lovers Rock;TV Girl;EDM;EDM;French Exit;500
81a53gITA9;1;Resonance;HOME;classical;CLASSICAL;Odyssey;472
81a53gITA9;2;Sweater Weather;The Neighbourhood;Alternative;ALTERNATIVE;I Love You.;210
81a53gITA9;3;Lovers;Anna of the North;Alternative;ALTERNATIVE;Lovers;63
81a53gITA9;4;Art Deco;Lana Del Rey;alternative;ALTERNATIVE;Honeymoon;74
81a53gITA9;5;Nightcrawler;Travis Scott;hip hop;HIP HOP;Rodeo;83
81a53gITA9;6;Cinnamon Girl;Lana Del Rey;Alternative;ALTERNATIVE;Norman F*****g Rockwell!;46
81a53gITA9;7;Snow on the Beach;Taylor Swift;Pop;POP;Midnights (The Til Dawn Edition);36
81a53gITA9;8;We Are the People;Empire Of The Sun;Alternative;ALTERNATIVE;Walking on a Dream;59
81a53gITA9;9;Harpy Hare;Yaelokre;miscellaneous;MISCELLANEOUS;Hayfields;82
ITu1uvTiVW;1;Spoonful;Howling Wolf;r&b;R&B;The rocking chair;201
81a53gITA9;10;Fourth of July;Sufjan Stevens;country;COUNTRY;Carrie & Lowell;127
ITu1uvTiVW;2;Moanin' At Midnight;Howlin Wolf;r&b;R&B;Moanin' in the moonlight;194
ITu1uvTiVW;3;Mannish Boy;Muddy Waters;r&b;R&B;Hard Again;193
ITu1uvTiVW;4;Old Number 7;The Devil Makes Three;r&b;R&B;Bluegrass;200
ITu1uvTiVW;5;Whitehouse Road;Tyler Childers;country;COUNTRY;Purgatory;211
ITu1uvTiVW;6;Short Change Hero;The Heavy;r&b;R&B;The House That Dirt Built;357
ITu1uvTiVW;7;Sober;Tool;alternative;ALTERNATIVE;Undertow;578
ITu1uvTiVW;8;Suffocate;Knocked Loose;metal;METAL;You Won't Go Before You're Supposed To;205
ITu1uvTiVW;8;Like a Villan;Bad Omens;metal;METAL;The Death of Peace of Mind;321
ITu1uvTiVW;9;Forgotten;The Plot in You;metal;METAL;Vol. 1 EP;189
ITu1uvTiVW;10;Upperdrugs;Highly Suspect;alternative;ALTERNATIVE;MCID;708
YCxkkb70AN;1;They might as well be dead (Risk of rain 2);Chris Christodoulou;Rock;ROCK;Risk of Rain 2: Survivors of the void;25
YCxkkb70AN;2;Bilewater;Christopher Larkin;miscellaneous;MISCELLANEOUS;Hollow Knight: Silksong (Original Soundtrack);8
YCxkkb70AN;3;Undying Shores;Yoann Laulan;classical;CLASSICAL;Dead Cells Fatal Falls (Original Soundtrack);50
YCxkkb70AN;4;Widow;Christopher Larkin;classical;CLASSICAL;Hollow Knight: Silksong (Original Soundtrack);8
YCxkkb70AN;5;The Rain Formerly Known as Purple;Chris Christodoulou;Rock;ROCK;Risk of Rain 2;25
YCxkkb70AN;6;The Devil Went Down to Georgia;Charlie Daniels;Country;COUNTRY;Million Mile Reflections;10
YCxkkb70AN;7;Lost Lace;Christopher Larkin;classical;CLASSICAL;Hollow Knight: Silksong (Original Soundtrack);5
YCxkkb70AN;8;Mantis Lords;Christopher Larkin;classical;CLASSICAL;Hollow Knight (Original Soundtrack);20
YCxkkb70AN;9;The Temple;Yoann Laulan;Rock;ROCK;Dead Cells - Soundtrack part 1;25
YCxkkb70AN;10;Time for Your Medicine;Yoann Laulan;classical;CLASSICAL;Dead Cells : Volume 2;25
zqTG75OxbE;2;Ding - A - Dong;Teach In;Pop;POP;Festival;50
zqTG75OxbE;1;Slipping Though My Fingers;ABBA;Pop;POP;The Visitors;50
zqTG75OxbE;3;Night Changes;One Direction;Pop;POP;Four;40
zqTG75OxbE;4;Movin' Out (Anthony's Song);Billy Joel;rock;ROCK;The Stranger;20
zqTG75OxbE;5;Rich Girl;Daryl Hall & John Oates;Rock;ROCK;Bigger Than Both of Us;20
zqTG75OxbE;6;Vienna;Billy Joel;rock;ROCK;The Stranger;40
zqTG75OxbE;7;Take It On The Run;REO Speedwagon;rock;ROCK;Hi Infidelity;50
zqTG75OxbE;8;My Life;Billy Joel;Rock;ROCK;52nd Street;20
zqTG75OxbE;9;Old Friend Goodbye;Teach In;Pop;POP;Roll Along;30
zqTG75OxbE;10;I Will Survive;Gloria Gaynor;EDM;EDM;Love Tracks;60
80ocu1VbdY;3;PIToRRO DE COCO;Bad Bunny;Reggaeton;REGGAETON;DeBI TiRAR MaS FOToS;260
80ocu1VbdY;2;Moscow Mule;Bad Bunny;Reggaeton;REGGAETON;Un Verano Sin Ti;285
80ocu1VbdY;6;Neverita;Bad Bunny;Reggaeton;REGGAETON;Un Verano Sin Ti;200
80ocu1VbdY;1;Routines in the Night;Twenty One Pilots;alternative;ALTERNATIVE;Clancy;320
80ocu1VbdY;7;One Way;Twenty One Pilots;alternative;ALTERNATIVE;Breach;150
80ocu1VbdY;9;Thinkin Bout You;Frank Ocean;R&B;R&B;channel ORANGE;100
80ocu1VbdY;4;Nights;Frank Ocean;R&B;R&B;Blonde;250
80ocu1VbdY;5;Lonely;Imagine Dragons;Pop;POP;Mercury;225
80ocu1VbdY;8;Take Me to the Beach;Imagine Dragons;Pop;POP;LOOM;120
80ocu1VbdY;10;Troublemaker;Olly Murs;Pop;POP;"Right Place Right Time	";60
dQTrbKB8EP;1;Holding Onto You;Twenty One Pilots;alternative;ALTERNATIVE;Vessel;100
dQTrbKB8EP;2;Taxi Cab;Twenty One Pilots;alternative;ALTERNATIVE;Twenty One Pilots;100
dQTrbKB8EP;3;Soul Meets Body;Death Cab For Cutie;indie;INDIE;Plans;100
dQTrbKB8EP;4;Next Semester;Twenty One Pilots;alternative;ALTERNATIVE;Clancy;100
dQTrbKB8EP;5;Bandito;Twenty One Pilots;alternative;ALTERNATIVE;Trench;100
8ieLGXjjdw;1;Guiding Ahead Boss Battle Theme - Martyr;Monster Siren Records / Hypergryph;EDM;EDM;Arknights - Guiding Ahead Side Story;2000
dQTrbKB8EP;6;Transantlanticism;Death Cab For Cutie;indie;INDIE;Translantacism;100
8ieLGXjjdw;2;Shantien Phase 4/4 Battle Theme : Imperial Wrath of the Azure Dragon - Shantien;Hideyuki Fukasawa, CAPCOM;ost;OST;Monster Hunter Frontier G;3000
dQTrbKB8EP;7;Tally;Twenty One Pilots;alternative;ALTERNATIVE;Breach;100
8ieLGXjjdw;4;Ambiguous Morality;Adam Gubman , Monster Siren Records , Arknights;ost;OST;Arknights - I Portatori Dei Velluti Side Story;600
8ieLGXjjdw;5;Der Hexenkonig;Lappy , Monster Siren Records , Hypergryph;classical;CLASSICAL;Arknights - Zwillingsturme Im Herbst Side Story;700
dQTrbKB8EP;8;Fluorescent Adolescent;Arctic Monkeys;indie;INDIE;Favourite Worst Nightmare;100
8ieLGXjjdw;6;Intervallo VI-EX Boss 3 Battle Theme;Studio EIM , Monster Siren Records;ost;OST;Limbus Company - Pilgrimage of Compassion Intervallo;250
8ieLGXjjdw;7;Canto VI Boss 4 Battle Theme;Studio EIM;ost;OST;Limbus Company - Canto VI The Heartbreaking;1200
dQTrbKB8EP;9;Jed's Other Poem (Beautiful Ground);Grandaddy;Alternative;ALTERNATIVE;The Sophtware Slump;100
8ieLGXjjdw;8;Children of the City;Mili;ost;OST;"""To Kill a Living Book"" for Library of Ruina";800
dQTrbKB8EP;10;Isolation;Balu Brigada;alternative;ALTERNATIVE;Portal;100
8ieLGXjjdw;9;G-Rank Great Forest Battle , An Ocean of Endless Green - Great Forest (G-Rank);Hideyuki Fukasawa, CAPCOM;ost;OST;Monster Hunter Frontier G;1800
8ieLGXjjdw;10;Vaal Hazak Battle Theme : Keeper of Hades - Vaal Hazak;Akihiko Narita, CAPCOM;ost;OST;Monster Hunter World;1000
3AWPRVb9Pd;1;Dogs;Nouns;miscellaneous;MISCELLANEOUS;Still Bummed;200
3AWPRVb9Pd;2;Ballad of Big Nothing;Elliott Smith;indie;INDIE;Either/Or;120
3AWPRVb9Pd;3;Send it to Oslo;Sparky Deathcap;indie;INDIE;Tear Jerky;100
3AWPRVb9Pd;4;Cody's Theme;AJJ;alternative;ALTERNATIVE;The Bible 2;150
yvuNAZL4W7;1;East Side of Sorrow;Zach Bryan;Country;COUNTRY;Zach Bryan (self titled album);500
3AWPRVb9Pd;5;Holland 1945;Neutral Milk Hotel;indie;INDIE;In the Aeroplane Over the Sea;130
3AWPRVb9Pd;6;Still Bummed;Nouns;miscellaneous;MISCELLANEOUS;Still Bummed;90
yvuNAZL4W7;2;Mona Lisa;Lil Wayne, Kendrick Lamar;Hip Hop;HIP HOP;Tha Carter V;500
3AWPRVb9Pd;7;In the Aeroplane Over the Sea;Neutral Milk Hotel;indie;INDIE;In the Aeroplane Over the Sea;200
3AWPRVb9Pd;8;Jigsaw Falling into Place;Radiohead;Alternative;ALTERNATIVE;In Rainbows;80
3AWPRVb9Pd;9;Where am I;Title Fight;miscellaneous;MISCELLANEOUS;Shed;60
yvuNAZL4W7;3;Rattlesnake;Jack Van Cleaf;country;COUNTRY;Fruit from the trees;450
3AWPRVb9Pd;10;The Room is Filled with People that Love you;Foresight;indie;INDIE;The Room is filled with People that Love you;100
yvuNAZL4W7;4;Dreams;The Cranberries;Rock;ROCK;Everybody Else Is Doing It, So Why Can't We?;400
ZiGgWPNZTd;1;Blinding Lights;The Weeknd;pop;POP;After Hours;320
ZiGgWPNZTd;2;Bohemian Rhapsody;Queen;Rock;ROCK;A Night at the Opera;292
ZiGgWPNZTd;3;Bad Habit;Steve Lacy;R&B;R&B;Gemini Rights;256
ZiGgWPNZTd;4;Dreams;Fleetwood Mac;rock;ROCK;Rumours;243
ZiGgWPNZTd;5;Uptown Funk;Mark Ronson ft. Bruno Mars;Pop;POP;Uptown Special;227
ZiGgWPNZTd;6;Billie Jean;Michael Jackson;Pop;POP;Thriller;211
ZiGgWPNZTd;7;Levitating;Dua Lipa;pop;POP;Future Nostalgia;200
yvuNAZL4W7;5;Sorry 4 The Wait;Lil Wayne;Hip Hop;HIP HOP;Sorry 4 The Wait (single);300
ZiGgWPNZTd;8;Smells Like Teen Spirit;Nirvana;Alternative;ALTERNATIVE;Nevermind;185
ZiGgWPNZTd;9;Shape of You;Ed Sheeran;Pop;POP;� (Divide);179
ZiGgWPNZTd;10;Don't Stop Believin';Journey;Rock;ROCK;Escape;153
yvuNAZL4W7;6;Starved;Zach Bryan;Country;COUNTRY;Starved;200
yvuNAZL4W7;7;Hurt;Johnny Cash;Country;COUNTRY;Hurt;100
yvuNAZL4W7;8;Maps;Maroon V;Pop;POP;V;1000
yvuNAZL4W7;9;The Whale Song;Solas;rock;ROCK;The Hour Before Dawn;300
yvuNAZL4W7;10;She's Alright;Zach Bryan;Country;COUNTRY;American Heartbreakq;100
XBKFTF94Hv;1;Movie Star;Jack Harlow;Hip Hop;HIP HOP;Come Home the Kids Miss You;100
XBKFTF94Hv;2;I'd Do Anything To Make You Smile;Jack Harlow;Hip Hop;HIP HOP;Come Home the Kids Miss You;90
XBKFTF94Hv;3;DRIP DROP;Jack Harlow;Hip Hop;HIP HOP;Come Home the Kids Miss You;80
XBKFTF94Hv;4;Young Harleezy;Jack Harlow;Hip Hop;HIP HOP;Come Home the Kids Miss You;70
XBKFTF94Hv;5;What's Poppin;Jack Harlow;Hip Hop;HIP HOP;Come Home The Kids Miss You;60
XBKFTF94Hv;6;Dark Knight;Jack Harlow;Hip Hop;HIP HOP;Dark Knight;50
XBKFTF94Hv;7;NIGHTS LIKE THIS;TheKidLaroi;Hip Hop;HIP HOP;girls;40
XBKFTF94Hv;8;Shut up My Moms Calling;Hotel Ugly;r&b;R&B;Shut up My Moms Calling;40
XBKFTF94Hv;9;Warsaw;Jack Harlow;Hip Hop;HIP HOP;Confetti;35
XBKFTF94Hv;10;Ghost;Jack Harlow;Hip Hop;HIP HOP;Confetti;30
yBTIMbF3mJ;1;Never Gonna Give You Up;Rick Astley;Pop;POP;Whenever You Need Somebody;300
yBTIMbF3mJ;2;Firework;Katy Perry;Pop;POP;Teenage Dream;189
yBTIMbF3mJ;3;Crab Rave;Noisestorm;EDM;EDM;Monstercat Instinct Vol. 1;184
yBTIMbF3mJ;4;The Muffin Song;TomSka;Comedy;COMEDY;N/A;119
yBTIMbF3mJ;5;Sandstorm;Darude;miscellaneous;MISCELLANEOUS;Before the Storm;94
yBTIMbF3mJ;6;Shooting Stars;Bag Raiders;EDM;EDM;Bag Raiders;82
yBTIMbF3mJ;7;Astromania;Vicetone;EDM;EDM;Monstercat - Best of 2014;231
yBTIMbF3mJ;8;All Star;Smash Mouth;rock;ROCK;Astro Lounge;213
yBTIMbF3mJ;9;Among Us Drip Theme;Leonz;hip hop;HIP HOP;N/A;74
yBTIMbF3mJ;10;Gangnam Style;PSY;K-pop;K-POP;PSY 6;38
Wjtez3boG9;10;Nightcall;Kavinsky;edm;EDM;Nightcall;345
Wjtez3boG9;9;A Question of Heaven;Iced Earth;metal;METAL;The Dark Saga;560
Wjtez3boG9;8;Deer Dance;System of a Down;metal;METAL;Toxicity;570
Wjtez3boG9;7;Heartattack In A Layby;Porcupine Tree;metal;METAL;In Absentia;732
Wjtez3boG9;6;I Really Want to Stay at Your House;Rosa Walton;EDM;EDM;Cyberpunk 2077: Radio, Vol. 2;780
Wjtez3boG9;5;The Stage;Avenged Sevenfold;metal;METAL;The Stage;983
Wjtez3boG9;4;And Then There Was Silence;Blind Guardian;metal;METAL;A Night at the Opera;978
xXb7ClT5eh;1;Say It Ain't So;Weezer;alternative;ALTERNATIVE;Weezer (The Blue Album);100
Wjtez3boG9;3;Bloody Angel;Avatar;metal;METAL;Hail the Apocalypse;983
xXb7ClT5eh;8;Invisible;Duran Duran;pop;POP;Future Past;50
Wjtez3boG9;2;Flying Whales;Gojira;metal;METAL;From Mars to Sirius;669
Wjtez3boG9;1;Cosmic;Avenged Sevenfold;metal;METAL;Life is but a Dream;545
xXb7ClT5eh;2;Jigsaw Falling Into Place;Radiohead;alternative;ALTERNATIVE;In Rainbows;70
xXb7ClT5eh;3;I Am... All Of Me;Crush 40;Rock;ROCK;Shadow The Hedgehog Official Soundtrack;20
xXb7ClT5eh;4;The Emptiness Machine;Linkin Park;metal;METAL;From Zero;100
xXb7ClT5eh;5;Asimov;65daysofstatic;Rock;ROCK;No Man's Sky: Music For An Infinite Universe;40
goCMTqVDiB;1;Waking The Witch;Kate Bush;rock;ROCK;Hounds of Love;327
C0xWEDrtBt;1;Evergreen;Richy Mitch and The Coal;country;COUNTRY;Evergreen;1000
goCMTqVDiB;2;Lake;Roland Faunte;indie;INDIE;Sewing Kit;313
C0xWEDrtBt;2;House of the Rising sun;The Animals;rock;ROCK;The Animals;300
goCMTqVDiB;3;Twisted;MISSIO;rock;ROCK;Loner;301
C0xWEDrtBt;3;Where'd All the Time Go;Dr. Dog;rock;ROCK;Shame;400
xXb7ClT5eh;6;The Hand That Feeds;Nine Inch Nails;Rock;ROCK;With Teeth;30
xXb7ClT5eh;7;Wouldn't It Be Nice;The Beach Boys;Pop;POP;Pet Sounds;20
goCMTqVDiB;4;Darkness At Noon;ALA.NI;jazz;JAZZ;You & I;291
C0xWEDrtBt;4;San Luis;Gregory Alan Isakov;indie;INDIE;Evening Machines;500
goCMTqVDiB;5;Main Attraction;Jeremy Renner;Rock;ROCK;The Medicine;273
C0xWEDrtBt;5;You Make My Dreams;Daryl Hall & John Oates;Pop;POP;Voices;300
C0xWEDrtBt;6;Carry on Wayward Son;Kansas;Rock;ROCK;Leftoverture;600
goCMTqVDiB;6;Jar Of Hearts;Through Fire ;rock;ROCK;Breathe (Deluxe Edition);231
goCMTqVDiB;7;THE DEATH OF PEACE OF MIND;Bad Omens;Metal;METAL;THE DEATH OF PEACE OF MIND;229
xXb7ClT5eh;9;Ghosts 'n' Stuff;deadmau5;EDM;EDM;For Lack of a Better Name;20
goCMTqVDiB;8;Things We Lost In The Fire;Bastille;pop;POP;All This Bad Blood;191
xXb7ClT5eh;10;Thirsty;AJR;Alternative;ALTERNATIVE;Living Room;5
goCMTqVDiB;9;Monster;Willyecho;Rock;ROCK;Monster;187
C0xWEDrtBt;7;Vienna;Billy Joel;rock;ROCK;The Stranger;600
goCMTqVDiB;10;E For Extinction;Thousand Foot Krutch;rock;ROCK;Welcome To The Masquerade;174
C0xWEDrtBt;8;Me on you;Muscadine Bloodline;country;COUNTRY;Teenage Dixie;400
goCMTqVDiB;11;Icarus;Bastille;indie;INDIE;All This Bad blood ;171
C0xWEDrtBt;9;Boondocks;Little Big Town;country;COUNTRY;The Road to Here;400
goCMTqVDiB;12;Imagine Dragons;Ragged Insomnia;alternative;ALTERNATIVE;Imagine Dragins;131
